Name,Kategorien,Adresse,Kontaktinformationen,Öffnungszeiten,Website URL,Beschreibung,Image Source URLs,Ernährungsformen,Küchen,Mehr,Zahlungsarten
Ulanen Pavillon,"€€ (mittelpreisig), Imbiss, Biergarten","Am Staden 13a, 66111 Saarbrücken",+49 681 67757,Montag - Sonntag: 11.30 Uhr bis 23 Uhr (März bis Oktober) und 15.30 Uhr bis 20 Uhr (November bis Februar),http://www.facebook.com/derstaden.de,"In unseren Verkaufsbuden bekommen Sie bis zu 4 Sorten Bier vom Fass und weitere aus der Flasche. Außerdem bieten wir regionale Weine, sowie eine breite Palette an alkoholfreien Getränken. An unserem Imbiss finden Sie Speisen vom Grill, sowie Pommes Frites und weitere vegetarische Kleinigkeiten. Informieren Sie sich auch gerne über social media über unsere Veranstaltungen, die wir an mehreren Wochenenden im Jahr stattfinden lassen. Bei uns gilt Selbstbedienung.","https://einkaufen.saarbruecken.de/cache/media/attachments/2023/08/104811_x_y_eb48d1_08.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/08/104812_x_y_44e810_08.jpg","Vegan, Vegetarisch",Saarländisch,Sitzplätze im Freien,"Bar, EC, MasterCard, Saarbrücker Kohle, VisaCard"
Zapata,"Restaurant, €€ (mittelpreisig), Biergarten","Mainzer Straße 8, 66111 Saarbrücken",+49 681 94769926,"Montag - Donnerstag, Sonntag: 17.30 bis 24 Uhr; Freitag - Samstag: 17.30 bis 1 Uhr",https://www.facebook.com/zapata.saarland/,Kleine Tapasbar mitten im Herzen von Saarbrücken mit einem großen und schön ausgestatteten Biergarten.,"https://einkaufen.saarbruecken.de, https://einkaufen.saarbruecken.de/cache/media/attachments/2019/07/69904_x_y_8369cd_07.png",Vegetarisch,Spanisch,"Reservierung möglich, Sitzplätze im Freien",null
Ziyafet Grill,"Restaurant, €€ (mittelpreisig), Biergarten","Neumarkt 6, 66117 Saarbrücken",+49 681 5959501,Montag - Freitag: 17 bis 23 Uhr; Samstag - Sonntag: 12 bis 23 Uhr,https://ziyafetgrill.de/,"Saarländische Gemütlichkeit trifft auf orientalische Gastfreundschaft. Hier verbindet sich langjährige Tradition mit einer gemütlichen Atmosphäre, einem dynamischen Team und modernem Service. Für Feierlichkeiten und Gesellschaften stehen Ihnen Räumlichkeiten in Restaurant und Biergarten sowie ein Partyservice für externe Veranstaltungen zur Verfügung.",https://einkaufen.saarbruecken.de/cache/media/attachments/2018/06/61352_x_y_089ec4_06.jpg,Vegetarisch,"Saarländisch, Türkisch","Reservierung möglich, Sitzplätze im Freien",null
Wirtshaus Zur Wilden Ente,"Restaurant, €€ (mittelpreisig), Biergarten","Saarstraße 15, 66130 Saarbrücken",+49 681 872171,Mittwoch - Sonntag: 11.45 bis 23 Uhr,http://www.wilde-ente.de,"Ente gut, alles gut – In der Gaststätte an der Güdinger Schleuse können Besucher von mittwochs bis sonntags ab 11.45 Uhr im Biergarten, mit direktem Blick auf die Saar, entspannen. Das Gasthaus „Zur Wilden Ente“ bietet dabei eine Vielzahl von Speisen und Getränken - und anschließend lädt das Saarufer zu einem Spaziergang ein.","https://einkaufen.saarbruecken.de/cache/media/attachments/2023/09/105930_x_y_9a95e0_09.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/09/105931_x_y_84c678_09.jpg",Vegetarisch,Saarländisch,"Familienfreundlich, Hundefreundlich, Kostenloses WLAN, Reservierung möglich, Sitzplätze im Freien, Zum Mitnehmen","Bar, EC, MasterCard, VisaCard"
Ratskeller Saarbrücken,"Restaurant, €€ (mittelpreisig), Biergarten","Rathausplatz 1, 66111 Saarbrücken",+49 681 9101708,"Montag - Dienstag, Donnerstag - Samstag: 17:00 bis 1:00 Uhr; Mittwoch: 17:00 bis 24:00 Uhr; Sonntag: 17 bis 22:00 Uhr",http://www.ratskeller-saarbruecken.de,Saugen Sie Saarbrücken auf an seinem Ursprung im historischen Rathauskeller. Genießen Sie die Atmosphäre des 120 Jahre alten Backstein Gewölbe im Zusammenspiel modernen Elementen. Für Gruppen bestens geeignet. Der schönste Keller der Stadt verfügt über 300 Innen und 200 Außen Sitzplätze. Regionale und fair gehandelte Produkte stehen im Mittelpunkt der Speisekarte.,"https://einkaufen.saarbruecken.de/cache/media/attachments/2015/10/34800_x_y_c5aa76_10.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2016/07/35080_x_y_d14992_07.jpg","Glutenfrei, Halal, Vegan, Vegetarisch",Saarländisch,"Barrierefrei, Familienfreundlich, Hundefreundlich, Kostenloses WLAN, Reservierung möglich, Sitzplätze im Freien, Zum Mitnehmen","Bar, EC, MasterCard, Saarbrücker Kohle, VisaCard"
Lesepavillon,"€€ (mittelpreisig), Café, Biergarten","Im Ehrentalweg 21, 66117 Saarbrücken",+49681 95459382,Mittwoch: 13 bis 18 Uhr; Samstag: 13 bis 19 Uhr; Sonntag: 12 bis 19 Uhr,https://m.lesepavillon.de/website/,"In dem kleinen Café im Deutsch-Französischen Garten finden ab und zu verschiedene Events statt. Die restliche Zeit bietet es Besucherinnen und Besuchern die Möglichkeit, sich umgeben von der Natur bei einem Getränk und etwas kleinem zu essen zu entspannen.",https://einkaufen.saarbruecken.de/cache/media/attachments/2018/12/65139_x_y_949fec_12.jpg,null,"Kuchen, Torten und Pâtisserie",Sitzplätze im Freien,null
Zum Seeblick,"€ (günstig), Restaurant, Imbiss, Biergarten","Netzbachtal 1, 66287 Quierschied",+49 6897 63434,Dienstag - Samstag: 11 bis 23 Uhr; Sonntag: 10.30 bis 22 Uhr,null,"Entdecken Sie vielfältige Waldbilder auch im Netzbachtal. Im Lokal ""Zum Seeblick"" direkt am Weiher ist der Name Programm.",https://einkaufen.saarbruecken.de/cache/media/attachments/2022/04/93474_x_y_97fa14_04.jpg,null,"Kuchen, Torten und Pâtisserie, Saarländisch","Barrierefrei, Sitzplätze im Freien, Zum Mitnehmen",null
Naturfreundehaus Kirschheck,"Restaurant, €€ (mittelpreisig), Biergarten","Kirschheck 70, 66115 Saarbrücken",+49 681 74777,Dienstag - Samstag: 11 bis 20 Uhr; Sonntag: 10 bis 22 Uhr,http://www.I3.naturfreundehaus.de,"Nach einer Wanderung vorbei an den Bächen, Sümpfen und kleinen Waldseen im angrenzenden Naturschutzgebiet im Herz des Saarkohlenwaldes können Sie im Biergarten mit Blick auf den Wald zur Ruhe kommen. Im Kirschheck kommen auch kleine Gäste auf dem Spielplatz voll auf ihre Kosten.",https://einkaufen.saarbruecken.de/cache/media/attachments/2022/04/93473_x_y_29b832_04.jpg,null,null,"Familienfreundlich, Sitzplätze im Freien",null
Gasthaus Wickersberger Hof,"Restaurant, €€ (mittelpreisig), Biergarten","Wickersberger Hof 1, 66131 Saarbrücken",+49 6893 2620,Freitag: 17 Uhr; Sonntag: 13 Uhr,https://www.facebook.com/Gasthaus-Wickersberger-Hof-1799966233425214/,Das Gasthaus Wickersberger Hof liegt malerisch inmitten von Feldern und Wiesen.,https://einkaufen.saarbruecken.de/cache/media/attachments/2022/04/93439_x_y_f51013_04.jpg,null,wechselnde Karte,Sitzplätze im Freien,null
Wogbachtal Hütte,"Restaurant, €€ (mittelpreisig), Biergarten","Wogbachtal 1, 66131 Saarbrücken",+49 6893 9871471,"Samstag, Mittwoch: 12 bis 20 Uhr; Sonntag: 10 bis 20 Uhr",http://www.wogbachtal-huette.saarland,"Die Wogbachtalhütte liegt im Ensheimer Gelösch am Premium-Wanderweg ""Ensheimer Brunnenweg"", der elf Brunnen im Ensheimer Tal verbindet.",https://einkaufen.saarbruecken.de/cache/media/attachments/2022/04/93410_x_y_110b40_04.jpg,Vegetarisch,"Saarländisch, wechselnde Karte",Sitzplätze im Freien,null
Fischerhütte Burbach,"Restaurant, €€ (mittelpreisig), Biergarten","Im Weyerbachtal 30, 66115 Saarbrücken",+49 681 77421,"Dienstag - Freitag, Sonntag: 11 bis 22 Uhr; Samstag: 15 bis 22 Uhr",http://www.fischerhuette-burbach.de/,"Das Restaurant Fischerhütte bietet mit seinen Plätzen im Freien Gelegenheit, nach einem Rundgang um den Burbacher Waldweiher noch etwas in der Nähe zu verweilen. Kinder können sich außerdem auf einen Besuch auf dem Spielplatz freuen, der direkt an das Restaurant angeschlossen ist.",https://einkaufen.saarbruecken.de/cache/media/attachments/2022/04/93377_x_y_4bd19d_04.jpg,null,"Saarländisch, wechselnde Karte","Familienfreundlich, Sitzplätze im Freien",null
Silodom Biergarten,Biergarten,"An der Römerbrücke 3, 66121 Saarbrücken",null,null,https://www.facebook.com/pg/silodom.sb,"Biergarten, Konzerte und jede Menge Feiern.",https://einkaufen.saarbruecken.de/cache/media/attachments/2024/04/110866_x_y_5fd22a_04.jpg,null,null,Sitzplätze im Freien,null
the bakery,"€€ (mittelpreisig), Café","Gerberstraße 7, 66111 Saarbrücken",+49 681 95818570,Montag - Samstag: 9 bis 18 Uhr,https://www.facebook.com/thebakery.saarbruecken/timeline,"Modernes Café-Konzept mit Barista-Kaffee, französischer Patisserie, Frühstück, Quiches und Salaten. Große, gemütliche Sonnenterrasse im Hinterhof direkt am St. Johanner Markt.","https://einkaufen.saarbruecken.de/cache/media/attachments/2024/04/110814_x_y_1901d3_04.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2024/04/110815_x_y_54533f_04.jpg","Vegan, Vegetarisch","Französisch, Kuchen, Torten und Pâtisserie","Familienfreundlich, Hundefreundlich, Reservierung möglich, Sitzplätze im Freien, Zum Mitnehmen","Bar, EC, MasterCard, VisaCard"
Ubu le Roi,"€€ (mittelpreisig), Café","Cecilienstraße 15, 66111 Saarbrücken",+49 681 6866040,Montag - Sonntag: 9 bis 22 Uhr,https://www.facebook.com/ubu.le.roi/,Gemütliches Café mit Frühstück bis 14 Uhr und Kaffeespezialitäten.,"https://einkaufen.saarbruecken.de/cache/media/attachments/2023/09/105516_x_y_ecfd71_09.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/09/105518_x_y_0b9932_09.jpg","Vegan, Vegetarisch",null,"Familienfreundlich, Hundefreundlich, Kostenloses WLAN, Sitzplätze im Freien, Zum Mitnehmen","Bar, EC, MasterCard, VisaCard"
Restaurant Undine,"Restaurant, €€ (mittelpreisig), Biergarten","Bismarckstraße 129, 66121 Saarbrücken",+49 681 6853353,Dienstag - Samstag: 17 bis 23 Uhr und Küche 17.30 bis 22 Uhr; Sonntag: 12 bis 22 Uhr und Küche 12 bis 14.30 Uhr und  18 bis 21.30 Uhr,http://www.undine-restaurant.de/,"Das Restaurant Undine mit seinem schönen, klassisch gestalteten Biergarten liegt direkt an der Saar und ist beheimatet im Gebäude der Rudergesellschaft Saarbrücken. Tägliches Stammessen an Werktagen sowie regelmäßig wechselnde Wochenkarten mit saisonalen Gerichten sorgen für Abwechslung auf der Speisekarte.",https://einkaufen.saarbruecken.de/cache/media/attachments/2022/04/93380_x_y_6d7c28_04.jpg,Vegetarisch,"Französisch, Italienisch, Saarländisch","Reservierung möglich, Sitzplätze im Freien",null
Aioli am Markt,"Restaurant, €€ (mittelpreisig)","Am Stiefel 1, 66111 Saarbrücken",+49 681 98846300,Dienstag - Sonntag: 12 bis 22.30 Uhr,https://www.aioli-sb.de/,"„Hauptsach gudd gess“ lautet das Motto im Saarland! Genau das soll auch im Aioli am Markt im Mittelpunkt stehen. Bei Deinem Besuch am Sankt Johanner Markt lädt das Restaurant Dich zu einer besonderen kulinarischen Reise ein – ein Stück spanische Lebensart mitten im Saarland! Dich erwarten feurige Aromen, sonnenverwöhnte Weine und erlesene Zutaten. Das Aioli am Markt serviert typische Gerichte und natürlich auch Tapas: Kleine feine Häppchen aus allen Teilen des Landes.","https://einkaufen.saarbruecken.de/cache/media/attachments/2023/08/104825_x_y_f11b8b_08.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/08/104827_x_y_45c0cd_08.jpg",Vegetarisch,"Fusion, Spanisch","Hundefreundlich, Reservierung möglich, Sitzplätze im Freien","Bar, EC, MasterCard, VisaCard"
Zwickel Dudweiler,"Restaurant, Bar / Kneipe, €€ (mittelpreisig), Biergarten","Beethovenstrasse 47, 66125 Saarbrücken",06897 76 52 15,Montag - Sonntag: ab 17:30 Uhr,http://www.zwickel.info,"Bistro, Restaurant und Kneipe mit Biergarten, für junges und älteres Publikum. ""Schon gudd gess?"" ist das Motto der  Speisekarte.",https://einkaufen.saarbruecken.de/cache/media/attachments/2016/06/42014_x_y_2e8f9a_06.jpg,Vegetarisch,"Französisch, Italienisch, Saarländisch","Kostenloses WLAN, Reservierung möglich, Sitzplätze im Freien","Bar, EC"
COMAME,"€€ (mittelpreisig), Café","Kappenstraße 3, 66111 Saarbrücken",+49 163 1537661,Montag - Samstag: 8.30 bis 18 Uhr,https://comame.de/,"Der COMAME Store bietet neben Kaffeezubehör ausgewählte und selbst geröstete Spezialitätenkaffees als Bohne, gemahlen sowie frisch zubereitet. Es sind immer mehrere Sorten im Ausschank. Samstags werden dazu handgemachte Croissants sowie Macarons von Quanah Schott angeboten","https://einkaufen.saarbruecken.de/cache/media/attachments/2023/09/105449_x_y_ad596b_09.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/09/105450_x_y_8036d5_09.jpg","Vegan, Vegetarisch",null,"Sitzplätze im Freien, Zum Mitnehmen","Bar, EC, MasterCard, VisaCard"
Café Batela,"€€ (mittelpreisig), Café","Mainzer Str. 4, 66111 Saarbrücken",null,Dienstag - Sonntag: 9 bis 16 Uhr,https://cafe-batela.de/,"Das Batela ist ein familiengeführtes Café, mit dem wir - Ela & Batu - uns einen Traum erfüllt haben. Wir sind Gastgeber aus Leidenschaft. Mit diesem Café schaffen wir einen Ort zum Verweilen, zum Wohlfühlen und zum Genießen.","https://einkaufen.saarbruecken.de/cache/media/attachments/2025/02/119191_x_y_e0406b_02.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2025/02/119192_x_y_aa1ca2_02.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2025/02/119193_x_y_a08c63_02.jpg","Halal, Vegan, Vegetarisch",Fusion,"Familienfreundlich, Hundefreundlich, Kostenloses WLAN, Sitzplätze im Freien, Zum Mitnehmen","Bar, EC, MasterCard, VisaCard"
Brot & Sinne,Bäckerei,"Kaltenbachstraße 6, 66111 Saarbrücken",+49 681 98805344,Montag - Freitag: 7.30 bis 19.30 Uhr; Samstag: 8 bis 19.30 Uhr; Sonntag: 8.30 bis 18 Uhr,null,null,https://einkaufen.saarbruecken.de/cache/media/attachments/2023/09/105448_x_y_019f2f_09.jpg,null,null,null,null
Brot & Sinne Mainzer Straße,Bäckerei,"Mainzer Straße 86, 66111 Saarbrücken",+49 681 98805344,Montag - Samstag: 7 bis 19 Uhr; Sonntag: 8 bis 12 Uhr,null,null,https://einkaufen.saarbruecken.de/cache/media/attachments/2023/09/105448_x_y_019f2f_09.jpg,null,null,null,null
Uhu-Pavillon im Wildpark,"Restaurant, €€ (mittelpreisig), Biergarten","Meerwiesertalweg 138, 66123 Saarbrücken",+49 681 95807878,Montag - Sonntag: 11 bis 18 Uhr (Winter) und 11 bis 20 Uhr (Sommer),http://www.uhu-pavillon-wildpark.de/,"Der Uhu-Pavillon im Wildpark lädt ein zu einem sommerlichen Ausflug unter die Bäume des Stadtwaldes in den Biergarten. Das Team verwöhnt Sie mit Grill- und Wildspezialitäten, aber auch mit saarländischer Küche oder selbst gebackenen Kuchen und Eisbechern. Für Veranstaltungen kann der Uhu-Pavillon ebenfalls gemietet werden.",https://einkaufen.saarbruecken.de/cache/media/attachments/2016/06/42025_x_y_7f3736_06.jpg,Vegetarisch,Saarländisch,"Familienfreundlich, Sitzplätze im Freien","Bar, EC, VisaCard"
Schwanenkönig,"Restaurant, €€ (mittelpreisig), Biergarten","Krughütter Straße 26a, 66128 Saarbrücken",+49 681 98917471,null,https://www.schwanenkönig.de/,"Essen, trinken, wohlfühlen – so lautet das Motto des gemütlichen Lokals in Saarbrücken Gersweiler. Ob Sie sich einen Platz im Innenraum des Schwanenkönigs oder in dem dazugehörenden Biergarten suchen, auf der Speisekarte finden Sie eine Auswahl von typischen saarländischen Speisen, über vegetarische Gerichte und international angehauchte Cuisine.",https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107821_x_y_024f53_12.png,Vegetarisch,"Französisch, Italienisch, Saarländisch, wechselnde Karte",Sitzplätze im Freien,null
Erbeldinger Hof,"Restaurant, €€ (mittelpreisig), Biergarten","Im Almet 161, 66119 Saarbrücken",+49 681 59 09 76 97,"Montag, Mittwoch - Freitag: 17 bis 21 Uhr; Samstag - Sonntag: 12 bis 21 Uhr",http://www.landgasthaus-erbeldingerhof.de/,"Das Langasthaus Erbeldinger Hof liegt mitten in der Natur und ganz in der Nähe der Alpaka Farm. Die Gaststätte bietet eine vielfältige Speisekarte, sowohl mit vegetarischen Gerichten und einer veganen Option, als auch mit typisch Saarländischen Speisen und einigen italienisches und französischen Köstlichkeiten.",https://einkaufen.saarbruecken.de/cache/media/attachments/2022/04/93378_x_y_ac914a_04.jpg,"Vegan, Vegetarisch","Französisch, Italienisch, Saarländisch","Familienfreundlich, Hundefreundlich, Sitzplätze im Freien",null
Cafe Bistro Nauwies,"Restaurant, Café, Bar / Kneipe, Biergarten, € (günstig)","Nauwieserstraße 22, 66111 Saarbrücken",+49 681 35743,Montag - Sonntag: 10 bis 1 Uhr,https://bistro-cafe-nauwies.de/,Vom Frühstück bis zum Abendessen à la carte. Vom Kaffee bis zum Absacker oder einfach ein paar Bier & eine schöne Zeit in der „Nau“.,"https://einkaufen.saarbruecken.de/cache/media/attachments/2023/09/105514_x_y_059d70_09.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/09/105515_x_y_6975d0_09.jpg",Vegetarisch,"Fusion, Saarländisch, wechselnde Karte","Familienfreundlich, Hundefreundlich, Kostenloses WLAN, Sitzplätze im Freien","Bar, EC, MasterCard, VisaCard"
Café am Schloss,"Restaurant, €€ (mittelpreisig), Café, Biergarten","Am Schlossplatz 15, 66119 Saarbrücken",+49 681 582621,Montag - Sonntag: 10 bis 23 Uhr,http://www.cafe-am-schloss.com,Genießen Sie traditionelle und saisonale Speisen mit Blick auf das Saarbrücker Schloss und das Alte Rathaus. Vom Biergarten aus können Sie in idyllischer Umgebung von einer tolle Aussicht auf die Saar und auf die Stadt Saarbrücken profitieren.,"https://einkaufen.saarbruecken.de/cache/media/attachments/2023/08/104832_x_y_daf30f_08.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/08/104834_x_y_253f77_08.jpg",Vegetarisch,"Französisch, Saarländisch","Barrierefrei, Familienfreundlich, Hundefreundlich, Reservierung möglich, Sitzplätze im Freien, Zum Mitnehmen","Bar, EC, MasterCard, VisaCard"
Schwanenkönig,"Restaurant, €€ (mittelpreisig), Biergarten","Krughütter Straße 26a, 66128 Saarbrücken",+49 681 98917471,null,https://www.schwanenkönig.de/,"Essen, trinken, wohlfühlen – so lautet das Motto des gemütlichen Lokals in Saarbrücken Gersweiler. Ob Sie sich einen Platz im Innenraum des Schwanenkönigs oder in dem dazugehörenden Biergarten suchen, auf der Speisekarte finden Sie eine Auswahl von typischen saarländischen Speisen, über vegetarische Gerichte und international angehauchte Cuisine.",https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107821_x_y_024f53_12.png,Vegetarisch,"Französisch, Italienisch, Saarländisch, wechselnde Karte",Sitzplätze im Freien,null
Erbeldinger Hof,"Restaurant, €€ (mittelpreisig), Biergarten","Im Almet 161, 66119 Saarbrücken",+49 681 59 09 76 97,"Montag, Mittwoch - Freitag: 17 bis 21 Uhr; Samstag - Sonntag: 12 bis 21 Uhr",http://www.landgasthaus-erbeldingerhof.de/,"Das Langasthaus Erbeldinger Hof liegt mitten in der Natur und ganz in der Nähe der Alpaka Farm. Die Gaststätte bietet eine vielfältige Speisekarte, sowohl mit vegetarischen Gerichten und einer veganen Option, als auch mit typisch Saarländischen Speisen und einigen italienisches und französischen Köstlichkeiten.",https://einkaufen.saarbruecken.de/cache/media/attachments/2022/04/93378_x_y_ac914a_04.jpg,"Vegan, Vegetarisch","Französisch, Italienisch, Saarländisch","Familienfreundlich, Hundefreundlich, Sitzplätze im Freien",null
Cafe Bistro Nauwies,"Restaurant, Café, Bar / Kneipe, Biergarten, € (günstig)","Nauwieserstraße 22, 66111 Saarbrücken",+49 681 35743,Montag - Sonntag: 10 bis 1 Uhr,https://bistro-cafe-nauwies.de/,Vom Frühstück bis zum Abendessen à la carte. Vom Kaffee bis zum Absacker oder einfach ein paar Bier & eine schöne Zeit in der „Nau“.,"https://einkaufen.saarbruecken.de/cache/media/attachments/2023/09/105514_x_y_059d70_09.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/09/105515_x_y_6975d0_09.jpg",Vegetarisch,"Fusion, Saarländisch, wechselnde Karte","Familienfreundlich, Hundefreundlich, Kostenloses WLAN, Sitzplätze im Freien","Bar, EC, MasterCard, VisaCard"
Café am Schloss,"Restaurant, €€ (mittelpreisig), Café, Biergarten","Am Schlossplatz 15, 66119 Saarbrücken",+49 681 582621,Montag - Sonntag: 10 bis 23 Uhr,http://www.cafe-am-schloss.com,Genießen Sie traditionelle und saisonale Speisen mit Blick auf das Saarbrücker Schloss und das Alte Rathaus. Vom Biergarten aus können Sie in idyllischer Umgebung von einer tolle Aussicht auf die Saar und auf die Stadt Saarbrücken profitieren.,"https://einkaufen.saarbruecken.de/cache/media/attachments/2023/08/104832_x_y_daf30f_08.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/08/104834_x_y_253f77_08.jpg",Vegetarisch,"Französisch, Saarländisch","Barrierefrei, Familienfreundlich, Hundefreundlich, Reservierung möglich, Sitzplätze im Freien, Zum Mitnehmen","Bar, EC, MasterCard, VisaCard"
Deutsch-Französisches Café,"€ (günstig), Restaurant, Café, Biergarten","Im Ehrental 12, 66117 Saarbrücken",+49 681 88388747,Freitag - Sonntag: 12 Uhr bis 18 Uhr,https://www.dfg-cafe.de/,"Plätzchen im Deutsch-Französischen Garten mit großem Biergarten und wunderschönen Sitzplätzen unter den Platanen direkt am Südbahnhof der Bimmelbahn im DFG gelegen. Der Zugang über Eingang Süd, Metzer Straße ist fußläufig am kürzesten.",https://einkaufen.saarbruecken.de/cache/media/attachments/2020/06/78164_x_y_4cf022_06.png,"Vegan, Vegetarisch","Fusion, Italienisch, Kuchen, Torten und Pâtisserie, Saarländisch","Familienfreundlich, Reservierung möglich, Sitzplätze im Freien",null
Brasserie Saarbrücken,"Restaurant, Bar / Kneipe, €€ (mittelpreisig), Café","Bahnhofstraß 38, 66111 Saarbrücken",+49 681 90 68 480,"Montag - Donnerstag, Sonntag: 9 bis 22 Uhr; Freitag - Samstag: 9 bis 0 Uhr",https://www.deine-brasserie.de/brasserie-saarbruecken,Dein Tag in der Brasserie beginnt mit einem klassisch französischen Frühstück oder unserem täglichen Frühstücks- oder Brunchbuffet… Lass dich dann vom Charme der französischen Küche einfangen. Wie wäre es mit einem leckeren Elsässer Flammkuchen oder dem beliebten Croque Monsieur? Oder schlägt dein Herz eher für ein zartes Entrecôte? In deiner Brasserie heißt es „schlemmen wie Gott in Frankreich“… Geniesse dazu tolle Drinks oder eine leckere Süssigkeit von unserer Eiskarte…Bon appétit!,https://einkaufen.saarbruecken.de/cache/media/attachments/2023/09/105562_x_y_ff1e9a_09.png,"Glutenfrei, Vegan, Vegetarisch",wechselnde Karte,"Barrierefrei, Familienfreundlich, Hundefreundlich, Kostenloses WLAN, Reservierung möglich, Sitzplätze im Freien","American Express, Bar, EC, MasterCard, VisaCard"
LUUC - Café Deli Wein,"Restaurant, €€ (mittelpreisig), Café","Türkenstraße 17, 66111 Saarbrücken",+49 681 93885265,"Montag - Mittwoch, Sonntag: 9.30 bis 20.30 Uhr; Donnerstag - Samstag: 9.30 bis 22 Uhr",http://www.cafeluuc.de,"Das LUUC ist ein wunderschönes Café mit Wohlfühlfaktor. Das Hauptaugenmerk liegt auf veganen sowie vegetarischen Gerichten. Das Café hat eine große Auswahl zum Frühstück und Brunchen. Frühstücken kann man hier übrigens den ganzen Tag. Ab halb 12 gibt es dann zusätzlich noch verschiedene Hauptspeisen. Das Highlight ist auf jeden Fall unter anderem die Tapasplatte zum Teilen. Du kannst an kälteren Tagen gemütlich im Café verweilen und an wärmeren Tagen die Sonne auf der Sonnenterrasse genießen. Ach ja und hier gibt es täglich selbstgebackene Zimtschnecken, sogar vegan.","https://einkaufen.saarbruecken.de/cache/media/attachments/2023/08/104771_x_y_5fdb25_08.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/08/104773_x_y_362dbc_08.jpg","Glutenfrei, Halal, Vegan, Vegetarisch",wechselnde Karte,"Familienfreundlich, Hundefreundlich, Kostenloses WLAN, Reservierung möglich, Sitzplätze im Freien, Zum Mitnehmen","American Express, Bar, EC, MasterCard, VisaCard"
Rimoco Gewürzmanufaktur,"Manufaktur, €€ (mittelpreisig)","Talstraße 48, 66119 Saarbrücken",+49 681 93583801,Dienstag - Freitag: 12 - 19 Uhr; Samstag: 10 - 14 Uhr,http://www.rimoco.de,"Die kleine, feine Gewürzmanufaktur Rimoco liegt in der Talstraße direkt hinter dem Saarbrücker Schloss. 2012 von den Grundschulfreunden Ben und Richard gegründet, findest du hier seitdem immer neue spannende Gewürze und Gewürzmischungen, um deine Geschmacksknospen zu verblüffen. In der Gewürzmanufaktur schlägt das Herz für naturbelassene und frisch verarbeitete Gewürze. Neben Gewürzen und Kräutern entdeckst du außerdem regionalen Gin, Honig und weitere Delikatessen sowie viele Kochbücher und Kaffee von Black Hen. Wenn du an manchen Abenden durch die Fenster der alten Schreinerei schaust, kannst du einem unterhaltsamen Gewürzseminar beiwohnen. Zusammen mit den Teilnehmern werden Gewürze probiert und köstliche Kleinigkeiten zubereitet. Die Themen sind dabei ganz unterschiedlich, aber immer besonders würzig und vor allem lecker – vom Grundkurs bis zum Thema Indien, Italien oder Weihnachten kannst du dich also einmal um die Welt kochen. Die Gewürzmanufaktur ist immer von Dienstag bis Freitag von 12-19 Uhr sowie samstags von 10-14 Uhr geöffnet. Falls die Türen mal geschlossen sind, gibt es auch einen Onlineshop.","https://einkaufen.saarbruecken.de/cache/media/attachments/2025/04/120655_x_y_a6b71b_04.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2025/04/120657_x_y_aa6459_04.jpg","Glutenfrei, Vegan, Vegetarisch",null,null,"Bar, MasterCard, VisaCard"
